,"ï»¿""STATISTIC""",Statistic Label,Year,UNIT,VALUE
0,HRA01C1,First Admissions (Number),1965,Number,6666.0
1,HRA01C1,First Admissions (Number),1966,Number,6676.0
2,HRA01C1,First Admissions (Number),1967,Number,6927.0
3,HRA01C1,First Admissions (Number),1968,Number,7284.0
4,HRA01C1,First Admissions (Number),1969,Number,7652.0
5,HRA01C1,First Admissions (Number),1970,Number,7696.0
6,HRA01C1,First Admissions (Number),1971,Number,8058.0
7,HRA01C1,First Admissions (Number),1972,Number,8598.0
8,HRA01C1,First Admissions (Number),1973,Number,9018.0
9,HRA01C1,First Admissions (Number),1974,Number,8914.0
10,HRA01C1,First Admissions (Number),1975,Number,8873.0
11,HRA01C1,First Admissions (Number),1976,Number,8939.0
12,HRA01C1,First Admissions (Number),1977,Number,8788.0
13,HRA01C1,First Admissions (Number),1978,Number,8678.0
14,HRA01C1,First Admissions (Number),1979,Number,8631.0
15,HRA01C1,First Admissions (Number),1980,Number,8459.0
16,HRA01C1,First Admissions (Number),1981,Number,8480.0
17,HRA01C1,First Admissions (Number),1982,Number,8702.0
18,HRA01C1,First Admissions (Number),1983,Number,8415.0
19,HRA01C1,First Admissions (Number),1984,Number,8749.0
20,HRA01C1,First Admissions (Number),1985,Number,8441.0
21,HRA01C1,First Admissions (Number),1986,Number,8251.0
22,HRA01C1,First Admissions (Number),1987,Number,7934.0
23,HRA01C1,First Admissions (Number),1988,Number,8074.0
24,HRA01C1,First Admissions (Number),1989,Number,7530.0
25,HRA01C1,First Admissions (Number),1990,Number,7577.0
26,HRA01C1,First Admissions (Number),1991,Number,7949.0
27,HRA01C1,First Admissions (Number),1992,Number,7443.0
28,HRA01C1,First Admissions (Number),1993,Number,7311.0
29,HRA01C1,First Admissions (Number),1994,Number,7132.0
30,HRA01C1,First Admissions (Number),1995,Number,7246.0
31,HRA01C1,First Admissions (Number),1996,Number,7130.0
32,HRA01C1,First Admissions (Number),1997,Number,6978.0
33,HRA01C1,First Admissions (Number),1998,Number,7095.0
34,HRA01C1,First Admissions (Number),1999,Number,7105.0
35,HRA01C1,First Admissions (Number),2000,Number,7290.0
36,HRA01C1,First Admissions (Number),2001,Number,7301.0
37,HRA01C1,First Admissions (Number),2002,Number,7060.0
38,HRA01C1,First Admissions (Number),2003,Number,6656.0
39,HRA01C1,First Admissions (Number),2004,Number,6168.0
40,HRA01C1,First Admissions (Number),2005,Number,5917.0
41,HRA01C1,First Admissions (Number),2006,Number,5601.0
42,HRA01C1,First Admissions (Number),2007,Number,5853.0
43,HRA01C1,First Admissions (Number),2008,Number,6194.0
44,HRA01C1,First Admissions (Number),2009,Number,5972.0
45,HRA01C1,First Admissions (Number),2010,Number,6266.0
46,HRA01C1,First Admissions (Number),2011,Number,6129.0
47,HRA01C1,First Admissions (Number),2012,Number,6130.0
48,HRA01C1,First Admissions (Number),2013,Number,6055.0
49,HRA01C1,First Admissions (Number),2014,Number,5942.0
50,HRA01C1,First Admissions (Number),2015,Number,6114.0
51,HRA01C1,First Admissions (Number),2016,Number,6097.0
52,HRA01C1,First Admissions (Number),2017,Number,5905.0
53,HRA01C1,First Admissions (Number),2018,Number,6039.0
54,HRA01C1,First Admissions (Number),2019,Number,5277.0
55,HRA01C1,First Admissions (Number),2020,Number,5694.0
56,HRA01C1,First Admissions (Number),2021,Number,5758.0
57,HRA01C1,First Admissions (Number),2022,Number,5412.0
58,HRA01C2,Re-Admissions (Number),1965,Number,9230.0
59,HRA01C2,Re-Admissions (Number),1966,Number,9850.0
60,HRA01C2,Re-Admissions (Number),1967,Number,10680.0
61,HRA01C2,Re-Admissions (Number),1968,Number,11669.0
62,HRA01C2,Re-Admissions (Number),1969,Number,12045.0
63,HRA01C2,Re-Admissions (Number),1970,Number,12646.0
64,HRA01C2,Re-Admissions (Number),1971,Number,13293.0
65,HRA01C2,Re-Admissions (Number),1972,Number,14366.0
66,HRA01C2,Re-Admissions (Number),1973,Number,15018.0
67,HRA01C2,Re-Admissions (Number),1974,Number,16050.0
68,HRA01C2,Re-Admissions (Number),1975,Number,17019.0
69,HRA01C2,Re-Admissions (Number),1976,Number,17495.0
70,HRA01C2,Re-Admissions (Number),1977,Number,17597.0
71,HRA01C2,Re-Admissions (Number),1978,Number,18984.0
72,HRA01C2,Re-Admissions (Number),1979,Number,18727.0
73,HRA01C2,Re-Admissions (Number),1980,Number,18639.0
74,HRA01C2,Re-Admissions (Number),1981,Number,20205.0
75,HRA01C2,Re-Admissions (Number),1982,Number,20076.0
76,HRA01C2,Re-Admissions (Number),1983,Number,19982.0
77,HRA01C2,Re-Admissions (Number),1984,Number,20081.0
78,HRA01C2,Re-Admissions (Number),1985,Number,20641.0
79,HRA01C2,Re-Admissions (Number),1986,Number,21141.0
80,HRA01C2,Re-Admissions (Number),1987,Number,19922.0
81,HRA01C2,Re-Admissions (Number),1988,Number,20358.0
82,HRA01C2,Re-Admissions (Number),1989,Number,19720.0
83,HRA01C2,Re-Admissions (Number),1990,Number,20198.0
84,HRA01C2,Re-Admissions (Number),1991,Number,19964.0
85,HRA01C2,Re-Admissions (Number),1992,Number,19705.0
86,HRA01C2,Re-Admissions (Number),1993,Number,19694.0
87,HRA01C2,Re-Admissions (Number),1994,Number,19555.0
88,HRA01C2,Re-Admissions (Number),1995,Number,19194.0
89,HRA01C2,Re-Admissions (Number),1996,Number,19526.0
90,HRA01C2,Re-Admissions (Number),1997,Number,19007.0
91,HRA01C2,Re-Admissions (Number),1998,Number,18143.0
92,HRA01C2,Re-Admissions (Number),1999,Number,17957.0
93,HRA01C2,Re-Admissions (Number),2000,Number,16992.0
94,HRA01C2,Re-Admissions (Number),2001,Number,17146.0
95,HRA01C2,Re-Admissions (Number),2002,Number,16617.0
96,HRA01C2,Re-Admissions (Number),2003,Number,16375.0
97,HRA01C2,Re-Admissions (Number),2004,Number,16232.0
98,HRA01C2,Re-Admissions (Number),2005,Number,15336.0
99,HRA01C2,Re-Admissions (Number),2006,Number,14687.0
100,HRA01C2,Re-Admissions (Number),2007,Number,14916.0
101,HRA01C2,Re-Admissions (Number),2008,Number,14558.0
102,HRA01C2,Re-Admissions (Number),2009,Number,14223.0
103,HRA01C2,Re-Admissions (Number),2010,Number,13353.0
104,HRA01C2,Re-Admissions (Number),2011,Number,12863.0
105,HRA01C2,Re-Admissions (Number),2012,Number,12043.0
106,HRA01C2,Re-Admissions (Number),2013,Number,12402.0
107,HRA01C2,Re-Admissions (Number),2014,Number,11855.0
108,HRA01C2,Re-Admissions (Number),2015,Number,11746.0
109,HRA01C2,Re-Admissions (Number),2016,Number,11193.0
110,HRA01C2,Re-Admissions (Number),2017,Number,10838.0
111,HRA01C2,Re-Admissions (Number),2018,Number,10961.0
112,HRA01C2,Re-Admissions (Number),2019,Number,10085.0
113,HRA01C2,Re-Admissions (Number),2020,Number,9697.0
114,HRA01C2,Re-Admissions (Number),2021,Number,9965.0
115,HRA01C2,Re-Admissions (Number),2022,Number,10378.0
116,HRA01C3,All Admissions (Number),1965,Number,15440.0
117,HRA01C3,All Admissions (Number),1966,Number,16526.0
118,HRA01C3,All Admissions (Number),1967,Number,17607.0
119,HRA01C3,All Admissions (Number),1968,Number,18953.0
120,HRA01C3,All Admissions (Number),1969,Number,19697.0
121,HRA01C3,All Admissions (Number),1970,Number,20342.0
122,HRA01C3,All Admissions (Number),1971,Number,21351.0
123,HRA01C3,All Admissions (Number),1972,Number,22964.0
124,HRA01C3,All Admissions (Number),1973,Number,24036.0
125,HRA01C3,All Admissions (Number),1974,Number,24964.0
126,HRA01C3,All Admissions (Number),1975,Number,25892.0
127,HRA01C3,All Admissions (Number),1976,Number,26434.0
128,HRA01C3,All Admissions (Number),1977,Number,26385.0
129,HRA01C3,All Admissions (Number),1978,Number,27662.0
130,HRA01C3,All Admissions (Number),1979,Number,27358.0
131,HRA01C3,All Admissions (Number),1980,Number,27098.0
132,HRA01C3,All Admissions (Number),1981,Number,28685.0
133,HRA01C3,All Admissions (Number),1982,Number,28778.0
134,HRA01C3,All Admissions (Number),1983,Number,28397.0
135,HRA01C3,All Admissions (Number),1984,Number,28830.0
136,HRA01C3,All Admissions (Number),1985,Number,29082.0
137,HRA01C3,All Admissions (Number),1986,Number,29392.0
138,HRA01C3,All Admissions (Number),1987,Number,27856.0
139,HRA01C3,All Admissions (Number),1988,Number,28432.0
140,HRA01C3,All Admissions (Number),1989,Number,27250.0
141,HRA01C3,All Admissions (Number),1990,Number,27765.0
142,HRA01C3,All Admissions (Number),1991,Number,27913.0
143,HRA01C3,All Admissions (Number),1992,Number,27148.0
144,HRA01C3,All Admissions (Number),1993,Number,27005.0
145,HRA01C3,All Admissions (Number),1994,Number,26687.0
146,HRA01C3,All Admissions (Number),1995,Number,26440.0
147,HRA01C3,All Admissions (Number),1996,Number,26656.0
148,HRA01C3,All Admissions (Number),1997,Number,25985.0
149,HRA01C3,All Admissions (Number),1998,Number,25238.0
150,HRA01C3,All Admissions (Number),1999,Number,25062.0
151,HRA01C3,All Admissions (Number),2000,Number,24282.0
152,HRA01C3,All Admissions (Number),2001,Number,24446.0
153,HRA01C3,All Admissions (Number),2002,Number,23677.0
154,HRA01C3,All Admissions (Number),2003,Number,23031.0
155,HRA01C3,All Admissions (Number),2004,Number,22400.0
156,HRA01C3,All Admissions (Number),2005,Number,21253.0
157,HRA01C3,All Admissions (Number),2006,Number,20288.0
158,HRA01C3,All Admissions (Number),2007,Number,20769.0
159,HRA01C3,All Admissions (Number),2008,Number,20752.0
160,HRA01C3,All Admissions (Number),2009,Number,20195.0
161,HRA01C3,All Admissions (Number),2010,Number,19619.0
162,HRA01C3,All Admissions (Number),2011,Number,18992.0
163,HRA01C3,All Admissions (Number),2012,Number,18173.0
164,HRA01C3,All Admissions (Number),2013,Number,18457.0
165,HRA01C3,All Admissions (Number),2014,Number,17797.0
166,HRA01C3,All Admissions (Number),2015,Number,17860.0
167,HRA01C3,All Admissions (Number),2016,Number,17290.0
168,HRA01C3,All Admissions (Number),2017,Number,16743.0
169,HRA01C3,All Admissions (Number),2018,Number,17000.0
170,HRA01C3,All Admissions (Number),2019,Number,16710.0
171,HRA01C3,All Admissions (Number),2020,Number,15391.0
172,HRA01C3,All Admissions (Number),2021,Number,15723.0
173,HRA01C3,All Admissions (Number),2022,Number,15790.0
174,HRA01C4,First Admissions as a % of All Admissions (Number),1965,Number,40.0
175,HRA01C4,First Admissions as a % of All Admissions (Number),1966,Number,40.0
176,HRA01C4,First Admissions as a % of All Admissions (Number),1967,Number,39.0
177,HRA01C4,First Admissions as a % of All Admissions (Number),1968,Number,38.0
178,HRA01C4,First Admissions as a % of All Admissions (Number),1969,Number,39.0
179,HRA01C4,First Admissions as a % of All Admissions (Number),1970,Number,38.0
180,HRA01C4,First Admissions as a % of All Admissions (Number),1971,Number,38.0
181,HRA01C4,First Admissions as a % of All Admissions (Number),1972,Number,37.0
182,HRA01C4,First Admissions as a % of All Admissions (Number),1973,Number,38.0
183,HRA01C4,First Admissions as a % of All Admissions (Number),1974,Number,36.0
184,HRA01C4,First Admissions as a % of All Admissions (Number),1975,Number,34.0
185,HRA01C4,First Admissions as a % of All Admissions (Number),1976,Number,34.0
186,HRA01C4,First Admissions as a % of All Admissions (Number),1977,Number,33.0
187,HRA01C4,First Admissions as a % of All Admissions (Number),1978,Number,31.0
188,HRA01C4,First Admissions as a % of All Admissions (Number),1979,Number,32.0
189,HRA01C4,First Admissions as a % of All Admissions (Number),1980,Number,31.0
190,HRA01C4,First Admissions as a % of All Admissions (Number),1981,Number,30.0
191,HRA01C4,First Admissions as a % of All Admissions (Number),1982,Number,30.0
192,HRA01C4,First Admissions as a % of All Admissions (Number),1983,Number,30.0
193,HRA01C4,First Admissions as a % of All Admissions (Number),1984,Number,30.0
194,HRA01C4,First Admissions as a % of All Admissions (Number),1985,Number,29.0
195,HRA01C4,First Admissions as a % of All Admissions (Number),1986,Number,28.0
196,HRA01C4,First Admissions as a % of All Admissions (Number),1987,Number,28.0
197,HRA01C4,First Admissions as a % of All Admissions (Number),1988,Number,28.0
198,HRA01C4,First Admissions as a % of All Admissions (Number),1989,Number,28.0
199,HRA01C4,First Admissions as a % of All Admissions (Number),1990,Number,27.0
200,HRA01C4,First Admissions as a % of All Admissions (Number),1991,Number,28.0
201,HRA01C4,First Admissions as a % of All Admissions (Number),1992,Number,27.0
202,HRA01C4,First Admissions as a % of All Admissions (Number),1993,Number,27.0
203,HRA01C4,First Admissions as a % of All Admissions (Number),1994,Number,27.0
204,HRA01C4,First Admissions as a % of All Admissions (Number),1995,Number,27.0
205,HRA01C4,First Admissions as a % of All Admissions (Number),1996,Number,27.0
206,HRA01C4,First Admissions as a % of All Admissions (Number),1997,Number,27.0
207,HRA01C4,First Admissions as a % of All Admissions (Number),1998,Number,28.0
208,HRA01C4,First Admissions as a % of All Admissions (Number),1999,Number,28.0
209,HRA01C4,First Admissions as a % of All Admissions (Number),2000,Number,30.0
210,HRA01C4,First Admissions as a % of All Admissions (Number),2001,Number,30.0
211,HRA01C4,First Admissions as a % of All Admissions (Number),2002,Number,30.0
212,HRA01C4,First Admissions as a % of All Admissions (Number),2003,Number,29.0
213,HRA01C4,First Admissions as a % of All Admissions (Number),2004,Number,28.0
214,HRA01C4,First Admissions as a % of All Admissions (Number),2005,Number,28.0
215,HRA01C4,First Admissions as a % of All Admissions (Number),2006,Number,28.0
216,HRA01C4,First Admissions as a % of All Admissions (Number),2007,Number,28.0
217,HRA01C4,First Admissions as a % of All Admissions (Number),2008,Number,30.0
218,HRA01C4,First Admissions as a % of All Admissions (Number),2009,Number,30.0
219,HRA01C4,First Admissions as a % of All Admissions (Number),2010,Number,32.0
220,HRA01C4,First Admissions as a % of All Admissions (Number),2011,Number,32.0
221,HRA01C4,First Admissions as a % of All Admissions (Number),2012,Number,34.0
222,HRA01C4,First Admissions as a % of All Admissions (Number),2013,Number,33.0
223,HRA01C4,First Admissions as a % of All Admissions (Number),2014,Number,33.0
224,HRA01C4,First Admissions as a % of All Admissions (Number),2015,Number,34.0
225,HRA01C4,First Admissions as a % of All Admissions (Number),2016,Number,35.0
226,HRA01C4,First Admissions as a % of All Admissions (Number),2017,Number,35.0
227,HRA01C4,First Admissions as a % of All Admissions (Number),2018,Number,36.0
228,HRA01C4,First Admissions as a % of All Admissions (Number),2019,Number,32.0
229,HRA01C4,First Admissions as a % of All Admissions (Number),2020,Number,37.0
230,HRA01C4,First Admissions as a % of All Admissions (Number),2021,Number,37.0
231,HRA01C4,First Admissions as a % of All Admissions (Number),2022,Number,34.0
232,HRA01C5,Re-Admissions as a % of All Admissions (Number),1965,Number,60.0
233,HRA01C5,Re-Admissions as a % of All Admissions (Number),1966,Number,60.0
234,HRA01C5,Re-Admissions as a % of All Admissions (Number),1967,Number,61.0
235,HRA01C5,Re-Admissions as a % of All Admissions (Number),1968,Number,62.0
